Stream,SYN,FIN,LEN,DPORT,PROTO,MIRAI
stream_0_date_07:16:18_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_07:16:51_09_19_2019.pcap,0.09,0,4.04,23,6,1
stream_0_date_07:16:55_09_21_2019.pcap,0.06,0,63.75,23,6,1
stream_0_date_07:17:52_09_19_2019.pcap,0,0.05,36.26,23,6,1
stream_0_date_07:18:56_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_07:20:57_09_21_2019.pcap,0.06,0,70.34,23,6,1
stream_0_date_07:22:59_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_07:23:54_09_19_2019.pcap,0.1,0,20.05,23,6,1
stream_0_date_07:24:55_09_19_2019.pcap,0,0.33,12.66,23,6,1
stream_0_date_07:25:56_09_19_2019.pcap,0,0.33,12.66,23,6,1
stream_0_date_07:26:02_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:28:04_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:30:05_09_21_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_07:31:06_09_21_2019.pcap,0.05,0,49.32,23,6,1
stream_0_date_07:32:07_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_07:33:08_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_07:33:42_09_23_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:35:09_09_21_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_07:36:10_09_21_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_07:37:11_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_07:38:00_09_19_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:38:12_09_21_2019.pcap,0,0,43,23,6,1
stream_0_date_07:40:13_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_07:41:14_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:42:15_09_21_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_07:43:16_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:44:17_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_07:49:27_09_22_2019.pcap,0.22,0.11,9.77,23,6,1
stream_0_date_07:50:20_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:52:21_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:53:22_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:54:23_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:55:24_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:57:25_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:57:40_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:58:26_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:58:30_09_22_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_07:58:41_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:59:42_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:00:27_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_08:00:31_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_08:05:29_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:06:30_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:07:40_09_17_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:08:32_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:09:33_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:10:34_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:12:36_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:20:38_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:21:39_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:25:41_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:26:14_09_19_2019.pcap,0.07,0,3.85,23,6,1
stream_0_date_08:26:42_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:27:15_09_19_2019.pcap,0,0,256.16,23,6,1
stream_0_date_08:27:43_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:28:44_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:29:16_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_08:31:17_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_08:35:41_09_22_2019.pcap,0.16,0,52.9,23,6,1
stream_0_date_08:37:42_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_08:38:47_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:39:20_09_19_2019.pcap,0.05,0,20.47,23,6,1
stream_0_date_08:40:21_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_08:40:49_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:42:51_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:44:45_09_22_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_08:46:46_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_08:48:24_09_19_2019.pcap,0.05,0,117.45,23,6,1
stream_0_date_08:50:25_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_08:50:54_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:51:26_09_19_2019.pcap,0.12,0,50.21,23,6,1
stream_0_date_08:51:55_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:53:27_09_19_2019.pcap,0.08,0,3.96,23,6,1
stream_0_date_08:54:28_09_19_2019.pcap,0,0,155.1,23,6,1
stream_0_date_08:54:58_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_08:56:30_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:01:05_09_23_2019.pcap,0.28,0,5,23,6,1
stream_0_date_09:02:06_09_23_2019.pcap,0,0,0,23,6,-1
stream_0_date_09:06:33_09_19_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:07:04_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:08:05_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:08:35_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_09:08:52_09_22_2019.pcap,0.11,0.47,17.82,23,6,1
stream_0_date_09:09:09_09_23_2019.pcap,0.06,0,64.43,23,6,1
stream_0_date_09:09:36_09_19_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_09:10:06_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:10:37_09_19_2019.pcap,0.18,0.18,6.36,23,6,1
stream_0_date_09:11:07_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:11:10_09_23_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:11:38_09_19_2019.pcap,0.17,0,43.2,23,6,1
stream_0_date_09:13:39_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:15:40_09_19_2019.pcap,0.12,0,48.63,23,6,1
stream_0_date_09:17:42_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:19:03_09_20_2019.pcap,0,0.75,0,23,6,-1
stream_0_date_09:19:11_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:20:04_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:20:12_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:21:05_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:22:43_09_19_2019.pcap,0.13,0,23.06,23,6,1
stream_0_date_09:23:44_09_19_2019.pcap,0,0.25,14.12,23,6,1
stream_0_date_09:24:14_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:24:45_09_19_2019.pcap,0.1,0,19.52,23,6,1
stream_0_date_09:25:15_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:25:46_09_19_2019.pcap,0,0.33,12.66,23,6,1
stream_0_date_09:27:01_09_17_2019.pcap,0.06,0,51.19,23,6,1
stream_0_date_09:27:48_09_19_2019.pcap,0.11,0,48.05,23,6,1
stream_0_date_09:29:02_09_17_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:29:49_09_19_2019.pcap,0.1,0,19.36,23,6,1
stream_0_date_09:30:09_09_20_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_09:30:50_09_19_2019.pcap,0,0.33,12.66,23,6,1
stream_0_date_09:32:10_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:32:42_09_18_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:33:18_09_21_2019.pcap,0.06,0,52.4,23,6,1
stream_0_date_09:35:00_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:35:11_09_20_2019.pcap,0.05,0,47.3,23,6,1
stream_0_date_09:35:20_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:36:21_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:37:13_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:38:23_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:39:14_09_20_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_09:39:24_09_21_2019.pcap,0.05,0,58.91,23,6,1
stream_0_date_09:40:25_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:41:15_09_20_2019.pcap,0,0.66,0,23,6,-1
